,Test_Time (s),Cycle_Index,Voltage (V),Current (A),Cell_Temperature (C),Capacity
3451,5665.266,3.0,3.438,0.5489999999999999,16.172,0.7863636363636363
3452,5675.280999999999,3.0,3.4389999999999996,0.5489999999999999,16.11,0.7872727272727272
3453,5685.2959999999985,3.0,3.4389999999999996,0.55,16.31,0.7890909090909091
3454,5695.310999999998,3.0,3.44,0.5489999999999999,16.234,0.79
3455,5705.325999999997,3.0,3.44,0.5489999999999999,16.172,0.7918181818181818
3456,5715.341000000004,3.0,3.44,0.5489999999999999,16.234,0.7927272727272726
3457,5725.356000000003,3.0,3.4410000000000003,0.55,16.172,0.7945454545454546
3458,5735.371000000003,3.0,3.4410000000000003,0.5489999999999999,16.172,0.7954545454545454
3459,5745.386000000002,3.0,3.4410000000000003,0.5489999999999999,16.157,0.7972727272727272
3460,5755.401000000002,3.0,3.4410000000000003,0.5489999999999999,16.234,0.7990909090909091
3461,5765.416000000001,3.0,3.4419999999999997,0.5489999999999999,16.234,0.7999999999999999
3462,5775.4310000000005,3.0,3.4419999999999997,0.5489999999999999,16.157,0.8018181818181818
3463,5785.446,3.0,3.4419999999999997,0.5489999999999999,16.234,0.8027272727272726
3464,5795.460999999999,3.0,3.443,0.5489999999999999,16.234,0.8045454545454545
3465,5805.475999999999,3.0,3.443,0.5489999999999999,16.234,0.8054545454545453
3466,5815.490999999998,3.0,3.443,0.5489999999999999,16.234,0.8072727272727273
3467,5825.505999999998,3.0,3.444,0.5489999999999999,16.172,0.8081818181818181
3468,5835.521000000004,3.0,3.444,0.5489999999999999,16.157,0.8099999999999998
3469,5845.536000000004,3.0,3.444,0.5489999999999999,16.157,0.8109090909090909
3470,5855.551000000003,3.0,3.445,0.5489999999999999,16.08,0.8127272727272726
3471,5865.5660000000025,3.0,3.445,0.5489999999999999,16.08,0.8136363636363636
3472,5875.581000000002,3.0,3.446,0.5489999999999999,16.157,0.8154545454545454
3473,5885.596000000001,3.0,3.446,0.5489999999999999,16.219,0.8163636363636363
3474,5895.611000000001,3.0,3.447,0.5489999999999999,16.219,0.8181818181818181
3475,5905.626,3.0,3.447,0.5489999999999999,16.157,0.819090909090909
3476,5915.641,3.0,3.447,0.5489999999999999,16.219,0.8209090909090908
3477,5925.655999999999,3.0,3.448,0.5489999999999999,16.142,0.8227272727272726
3478,5935.6709999999985,3.0,3.448,0.5489999999999999,16.157,0.8236363636363635
3479,5945.685999999998,3.0,3.449,0.5489999999999999,16.219,0.8254545454545453
3480,5955.700999999997,3.0,3.45,0.5489999999999999,16.142,0.8263636363636363
3481,5965.716000000004,3.0,3.45,0.5489999999999999,16.142,0.828181818181818
3482,5975.731000000003,3.0,3.45,0.5489999999999999,16.142,0.8290909090909091
3483,5985.746000000003,3.0,3.451,0.5489999999999999,16.142,0.8309090909090908
3484,5995.761000000002,3.0,3.451,0.5489999999999999,16.142,0.8318181818181818
3485,6005.776000000002,3.0,3.452,0.5489999999999999,16.219,0.8336363636363636
3486,6015.791000000001,3.0,3.4530000000000003,0.5489999999999999,16.142,0.8345454545454544
3487,6025.8060000000005,3.0,3.4530000000000003,0.5489999999999999,16.219,0.8363636363636363
3488,6035.821,3.0,3.4539999999999997,0.5489999999999999,16.219,0.8372727272727272
3489,6045.835999999999,3.0,3.455,0.5489999999999999,16.219,0.839090909090909
3490,6055.850999999999,3.0,3.455,0.5489999999999999,16.142,0.84
3491,6065.865999999998,3.0,3.4560000000000004,0.5489999999999999,16.142,0.8418181818181817
3492,6075.880999999998,3.0,3.4560000000000004,0.5489999999999999,16.219,0.8427272727272727
3493,6085.896000000004,3.0,3.457,0.5489999999999999,16.142,0.8445454545454545
3494,6095.911000000004,3.0,3.458,0.5489999999999999,16.204,0.8463636363636362
3495,6105.926000000003,3.0,3.4589999999999996,0.5489999999999999,16.219,0.8472727272727273
3496,6115.9410000000025,3.0,3.4589999999999996,0.5489999999999999,16.157,0.8490909090909091
3497,6125.956000000002,3.0,3.46,0.5489999999999999,16.157,0.85
3498,6135.971000000001,3.0,3.4610000000000003,0.55,16.095,0.8518181818181818
3499,6145.986000000001,3.0,3.4619999999999997,0.5489999999999999,16.095,0.8527272727272726
3500,6156.001,3.0,3.463,0.5489999999999999,16.157,0.8545454545454544
3501,6166.016,3.0,3.464,0.5489999999999999,16.157,0.8554545454545454
3502,6176.030999999999,3.0,3.465,0.5489999999999999,16.157,0.8572727272727272
3503,6186.0459999999985,3.0,3.466,0.5489999999999999,16.157,0.8581818181818182
3504,6196.060999999998,3.0,3.467,0.5489999999999999,16.157,0.8599999999999999
3505,6206.075999999997,3.0,3.468,0.5489999999999999,16.219,0.8609090909090908
3506,6216.091000000004,3.0,3.469,0.5489999999999999,16.157,0.8627272727272727
3507,6226.106000000003,3.0,3.471,0.55,16.142,0.8636363636363635
3508,6236.121000000003,3.0,3.472,0.5489999999999999,16.219,0.8654545454545455
3509,6246.136000000002,3.0,3.4730000000000003,0.55,16.219,0.8663636363636362
3510,6256.151000000002,3.0,3.475,0.55,16.204,0.868181818181818
3511,6266.166000000001,3.0,3.4760000000000004,0.5489999999999999,16.065,0.87
3512,6276.1810000000005,3.0,3.478,0.5489999999999999,16.142,0.8709090909090909
3513,6286.196,3.0,3.4789999999999996,0.5489999999999999,16.142,0.8727272727272726
3514,6296.210999999999,3.0,3.4810000000000003,0.5489999999999999,16.204,0.8736363636363635
3515,6306.225999999999,3.0,3.483,0.5489999999999999,16.142,0.8754545454545454
3516,6316.240999999998,3.0,3.484,0.5489999999999999,16.08,0.8763636363636363
3517,6326.255999999998,3.0,3.487,0.5489999999999999,16.142,0.8781818181818181
3518,6336.271000000004,3.0,3.489,0.5489999999999999,16.219,0.8790909090909091
3519,6346.286000000004,3.0,3.49,0.5489999999999999,16.08,0.8809090909090909
3520,6356.301000000003,3.0,3.4930000000000003,0.5489999999999999,16.142,0.8818181818181817
3521,6366.3160000000025,3.0,3.495,0.5489999999999999,16.28,0.8836363636363636
3522,6376.331000000002,3.0,3.498,0.5489999999999999,16.142,0.8845454545454544
3523,6386.346000000001,3.0,3.5,0.5489999999999999,16.204,0.8863636363636362
3524,6396.361000000001,3.0,3.503,0.5489999999999999,16.219,0.8872727272727272
3525,6406.376,3.0,3.5060000000000002,0.5489999999999999,16.142,0.889090909090909
3526,6416.391,3.0,3.51,0.5489999999999999,16.142,0.89
3527,6426.405999999999,3.0,3.513,0.5489999999999999,16.219,0.8918181818181817
3528,6436.4209999999985,3.0,3.517,0.5489999999999999,16.142,0.8936363636363636
3529,6446.435999999998,3.0,3.5210000000000004,0.5489999999999999,16.142,0.8945454545454545
3530,6456.450999999997,3.0,3.525,0.5489999999999999,16.142,0.8963636363636363
3531,6466.466000000004,3.0,3.529,0.5489999999999999,16.219,0.8972727272727272
3532,6476.481000000003,3.0,3.534,0.5489999999999999,16.28,0.8990909090909092
3533,6486.496000000003,3.0,3.5389999999999997,0.5489999999999999,16.28,0.8999999999999999
3534,6496.511000000002,3.0,3.5439999999999996,0.5489999999999999,16.142,0.9018181818181817
3535,6506.526000000002,3.0,3.55,0.5489999999999999,16.142,0.9027272727272726
3536,6516.541000000001,3.0,3.556,0.5489999999999999,16.219,0.9045454545454544
3537,6526.5560000000005,3.0,3.562,0.5489999999999999,16.142,0.9054545454545454
3538,6536.571,3.0,3.57,0.5489999999999999,16.142,0.9072727272727272
3539,6546.585999999999,3.0,3.5780000000000003,0.5489999999999999,16.142,0.9081818181818182
3540,6556.600999999999,3.0,3.5860000000000003,0.5489999999999999,16.219,0.9099999999999998
3541,6566.617000000002,3.0,3.594,0.5489999999999999,16.157,0.9109090909090909
3542,6572.0140000000065,3.0,3.6,0.5489999999999999,16.219,0.9118181818181816
3543,6632.042000000005,3.0,3.6,0.332,16.219,0.9181818181818181
3544,6692.070000000003,3.0,3.6,0.251,16.295,0.9227272727272726
3545,6752.097000000005,3.0,3.6,0.2,16.234,0.9263636363636364
3546,6812.124999999996,3.0,3.6,0.165,16.234,0.9290909090909091
3547,6872.153000000002,3.0,3.6,0.14,16.295,0.9309090909090909
3548,6932.179999999997,3.0,3.6,0.12,16.142,0.9327272727272726
3549,6992.208000000002,3.0,3.6,0.105,16.219,0.9345454545454545
3550,7052.236000000001,3.0,3.6,0.09300000000000001,16.157,0.9363636363636363
3551,7112.263000000003,3.0,3.6,0.083,16.095,0.9372727272727271
3552,7172.291000000001,3.0,3.6,0.075,16.034000000000002,0.939090909090909
3553,7232.319000000007,3.0,3.6,0.068,15.927,0.94
3554,7292.346000000001,3.0,3.6,0.062,15.942,0.9409090909090908
3555,7352.374000000007,3.0,3.6,0.057,15.989,0.9418181818181818
3556,7412.401999999998,3.0,3.6,0.053,15.927,0.9427272727272725
3557,7450.09,3.0,3.6,0.049,16.05,0.9427272727272725
3558,7510.117000000002,3.0,3.573,0.0,15.912,0.9427272727272725
3559,7570.144000000004,3.0,3.56,0.0,15.989,0.9427272727272725
3560,7630.172000000002,3.0,3.55,0.0,15.85,0.9427272727272725
3561,7690.200000000001,3.0,3.5410000000000004,0.0,15.835,0.9427272727272725
3562,7750.227000000003,3.0,3.533,0.0,15.682,0.9427272727272725
3563,7810.255000000001,3.0,3.5269999999999997,0.0,15.759,0.9427272727272725
3564,7870.282999999999,3.0,3.5210000000000004,0.0,15.62,0.9427272727272725
3565,7930.310000000001,3.0,3.516,0.0,15.759,0.9427272727272725
3566,7990.338,3.0,3.512,0.0,15.697000000000001,0.9427272727272725
3567,8050.115999999998,3.0,3.508,0.0,15.697000000000001,0.9427272727272725
3568,8050.146000000004,3.0,3.463,-0.5489999999999999,15.62,0.9427272727272725
3569,8051.613000000001,3.0,3.452,-0.55,15.697000000000001,0.9427272727272725
3570,8054.1709999999985,3.0,3.4419999999999997,-0.55,15.62,0.9427272727272725
3571,8057.477999999999,3.0,3.432,-0.5489999999999999,15.759,0.9418181818181818
3572,8061.628000000001,3.0,3.4210000000000003,-0.55,15.697000000000001,0.9418181818181818
3573,8066.494999999999,3.0,3.411,-0.5489999999999999,15.682,0.9409090909090908
3574,8072.0170000000035,3.0,3.4010000000000002,-0.55,15.682,0.94
3575,8078.538000000004,3.0,3.39,-0.55,15.697000000000001,0.939090909090909
3576,8086.057000000004,3.0,3.38,-0.5489999999999999,15.62,0.9381818181818181
3577,8094.481000000003,3.0,3.37,-0.5489999999999999,15.62,0.9372727272727271
3578,8104.496000000003,3.0,3.36,-0.5489999999999999,15.697000000000001,0.9354545454545453
3579,8114.511000000002,3.0,3.3510000000000004,-0.55,15.697000000000001,0.9345454545454545
3580,8124.526000000002,3.0,3.343,-0.55,15.62,0.9327272727272726
3581,8134.541000000001,3.0,3.3360000000000003,-0.55,15.62,0.9318181818181817
3582,8144.5560000000005,3.0,3.3289999999999997,-0.5489999999999999,15.774000000000001,0.9299999999999998
3583,8154.571,3.0,3.323,-0.55,15.697000000000001,0.9290909090909091
3584,8164.585999999999,3.0,3.319,-0.55,15.682,0.9272727272727272
3585,8174.600999999999,3.0,3.3139999999999996,-0.55,15.774000000000001,0.9254545454545454
3586,8184.615999999998,3.0,3.31,-0.5489999999999999,15.682,0.9245454545454543
3587,8194.630999999998,3.0,3.306,-0.5489999999999999,15.62,0.9227272727272726
3588,8204.646000000004,3.0,3.303,-0.5489999999999999,15.759,0.9218181818181818
3589,8214.661000000004,3.0,3.3,-0.55,15.697000000000001,0.9199999999999999
3590,8224.676000000003,3.0,3.2969999999999997,-0.5489999999999999,15.682,0.919090909090909
3591,8234.691000000003,3.0,3.2939999999999996,-0.55,15.543,0.9172727272727271
